logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
-2.365992157	2.453219001	-5.199420205	2.87E-07	4.09E-05	6.410124925	SLC6A19	4.388276692
0.421928961	3.899176468	5.189145913	3.03E-07	4.10E-05	6.410630278	SLC25A22	4.387216143
-0.865091236	4.355523571	-5.164521469	3.43E-07	4.33E-05	6.290751762	ALDH6A1	4.363512104
0.432273562	4.978137537	5.124831761	4.20E-07	4.80E-05	6.085688031	SLC52A2	4.318758763
0.388166166	4.938734477	5.020526517	7.08E-07	6.56E-05	5.599897439	ALG3	4.183096161
0.438962412	6.260142354	4.809825321	1.98E-06	0.000126591	4.610975266	SLC1A5	3.897597169
-2.148900709	2.800322692	-4.800341937	2.07E-06	0.000131046	4.609787007	SLC5A8	3.882576231
0.479682884	2.938615609	4.782746373	2.25E-06	0.00013526	4.550948355	SLC19A1	3.868830617
-0.445910675	5.821902689	-4.746334172	2.68E-06	0.000153753	4.339433149	SLC25A4	3.813176402
-0.365103286	7.789925722	-4.664226677	3.94E-06	0.000203389	3.976315417	SLC44A2	3.691672539
-0.913891745	2.656047013	-4.632990234	4.55E-06	0.000220699	3.871222679	SLC14A1	3.656199635
-0.86300853	3.977298883	-4.600906393	5.28E-06	0.000242079	3.773021392	ABCG2	3.616042883
0.394950846	7.633766083	4.522240344	7.57E-06	0.000306726	3.364199737	ABCB2	3.513249409
-0.779859029	6.986536605	-4.518003919	7.72E-06	0.00030932	3.337155201	SLCO2A1	3.509591998
-0.259962871	6.662036865	-4.509552998	8.02E-06	0.000318529	3.300327027	SLC39A9	3.496851022
0.268602888	6.477809423	4.466900704	9.73E-06	0.00035807	3.119758806	ALDH18A1	3.446032064
0.641358588	3.121853037	4.440272005	1.10E-05	0.000386622	3.108889657	SLC11A1	3.412713437
-0.412347496	4.3819032	-4.428694527	1.15E-05	0.000402351	3.008557837	GGT7	3.395394915
-0.464379583	7.243586171	-4.3535651	1.61E-05	0.00049003	2.652870849	ALDH3A2	3.309777331
-0.270129908	4.899724787	-4.325285698	1.82E-05	0.000532158	2.567634802	CYB5D2	3.273959405
-1.028337591	3.466457793	-4.308820422	1.96E-05	0.000560478	2.570529919	SLC44A4	3.25144143
-0.237816766	7.333092235	-4.253318119	2.50E-05	0.00066031	2.249282958	ADH5	3.180252126
0.445715636	2.448841145	4.159950803	3.72E-05	0.000860692	1.998195568	SLC2A6	3.065152234
0.300401205	3.394570471	4.159228879	3.73E-05	0.000861636	1.988768207	SLC25A19	3.064676164
0.300763023	4.525890138	4.118978589	4.42E-05	0.000960852	1.75624044	SLC39A11	3.017343502
0.20389323	7.889344948	4.028057544	6.46E-05	0.001248608	1.37641426	MGAT1	2.903573887
0.258404459	4.97091762	3.985677548	7.68E-05	0.00139218	1.23287567	SLC50A1	2.85630461
0.214469312	4.872667739	3.978229342	7.92E-05	0.001419756	1.206106671	SLC35A2	2.847786287
-1.764601685	3.104870503	-3.89820377	0.000109499	0.001776264	1.044431763	SLC22A12	2.750492486
-0.934821488	5.006530528	-3.894261394	0.000111244	0.001787334	0.95113653	HSD11B2	2.747794283
-0.499371793	6.542973576	-3.888865975	0.000113674	0.001816471	0.841683947	SLC9A3R2	2.740771531
0.517952609	6.820710111	3.887938515	0.000114097	0.001820757	0.836457531	HSD3B7	2.739748012
-1.497215691	4.028417006	-3.839779206	0.000138215	0.002078867	0.76469615	SLC5A1	2.682173295
-0.746689494	3.380559617	-3.761270952	0.000188122	0.002537136	0.542199798	FMO3	2.595656252
-0.315588505	5.223141008	-3.757613361	0.000190819	0.002553722	0.380084103	SLC12A6	2.592826382
-0.294062549	4.116516589	-3.756229387	0.000191849	0.002564589	0.445699073	SLC18B1	2.590982225
0.257382378	4.775458405	3.755110246	0.000192685	0.002572851	0.391557091	ALDH16A1	2.589585364
-0.933889086	4.753360404	-3.739568088	0.000204664	0.00268411	0.346049359	SLC27A2	2.57119969
0.208075083	5.623396872	3.734702138	0.000208557	0.002720012	0.291079911	SLC35C2	2.56542918
0.505650521	4.292115416	3.65700755	0.000280965	0.003345722	0.089223118	SLC9A9	2.475510148
-0.280361236	6.346748509	-3.63172809	0.000309222	0.00358446	-0.078837537	SLC30A9	2.445576262
-0.266481151	6.263898989	-3.607309129	0.000339035	0.003824531	-0.163005689	HSD17B12	2.417421815
-1.46399361	4.191819943	-3.602680571	0.000344981	0.003873062	-0.020493101	SLC17A4	2.411945551
-0.287231846	7.054590042	-3.579714134	0.000375962	0.004126475	-0.256515569	SLC25A23	2.384420782
-0.991438672	5.755570766	-3.525669912	0.000459456	0.004771722	-0.426474738	SLC16A12	2.321324866
0.182427368	4.773141348	3.508073606	0.00049019	0.004980988	-0.452676081	SLC35C1	2.302684505
-0.286940997	6.469071739	-3.506886449	0.000492331	0.004994128	-0.504179159	HSDL2	2.301540331
0.247270648	3.862124171	3.503536492	0.00049842	0.005039278	-0.425280594	ABCC10	2.297631682
-0.219758609	4.629175661	-3.502736279	0.000499885	0.005049014	-0.453997077	ABCB7	2.296793425
0.323301345	7.699164533	3.4922748	0.000519412	0.005162119	-0.536573944	GPX1	2.287171988
-0.425819359	2.387975369	-3.447337134	0.000611677	0.005794984	-0.464769532	SLC30A4	2.236947759
-0.386047652	5.014567742	-3.446914151	0.000612614	0.005794984	-0.663824885	SLC12A2	2.236947759
-0.331799951	4.605446746	-3.403506055	0.000716218	0.00652351	-0.771104659	SLC22A23	2.185518668
-0.212032421	4.351390326	-3.395805744	0.000736221	0.006598533	-0.787788524	CCBL2	2.180552607
-0.230951223	6.291353096	-3.343301544	0.000887106	0.007372935	-1.038837986	SLC44A1	2.132359595
-0.31769248	5.136845968	-3.338874275	0.000901063	0.007441666	-1.019460093	SLC45A4	2.128329826
-0.899853915	4.976319175	-3.316517853	0.00097471	0.00792203	-1.071462227	CES3	2.101163517
0.572452394	3.853507279	3.302514831	0.001023646	0.008134604	-1.084499121	ALDH1A3	2.089663584
-0.484486239	4.044687559	-3.287673806	0.001077994	0.008440487	-1.104891485	SLC2A9	2.073632495
-0.23400817	4.650498256	-3.284867193	0.001088568	0.008501062	-1.168943121	NAA30	2.070526816
-0.671677264	8.948274322	-3.280468949	0.001105332	0.008569779	-1.191303317	SLC3A1	2.067030378
-0.923677387	5.801349242	-3.277680791	0.001116083	0.008610059	-1.211087726	ALDH1L1	2.064993873
0.338953407	3.551538125	3.265587278	0.001163846	0.008848958	-1.144647219	CHST11	2.053107866
0.22795926	5.360108619	3.265453721	0.001164384	0.008848958	-1.270671068	SLC12A9	2.053107866
-0.222449658	4.047644924	-3.251947697	0.001219986	0.009163118	-1.231685046	SLC24A1	2.037956721
0.258192107	4.794356389	3.248504604	0.001234548	0.0092103	-1.273303995	ABCD1	2.035726224
0.315756443	6.270266583	3.233532346	0.001299765	0.009557513	-1.384008373	PON2	2.019655103
-0.31395403	4.689902333	-3.212532879	0.001396619	0.010023146	-1.386269577	ABCA5	1.998995944
0.342469873	5.343949061	3.196796082	0.001473529	0.010395611	-1.463181203	GPX8	1.98314998
0.224801863	5.158880292	3.174456186	0.001589447	0.010946732	-1.536464438	NAA10	1.960715514
-0.327144746	5.503702064	-3.14327886	0.001765328	0.011772516	-1.646511744	SLC39A8	1.929130711
0.212712529	3.726404302	3.112570196	0.001955949	0.012733673	-1.594796227	CYB561D2	1.895046307
0.19447021	4.436766674	3.102799825	0.002020463	0.012995624	-1.698298804	CHST12	1.886202863
-0.203304379	4.715208358	-3.103188666	0.002017858	0.012995624	-1.725146729	CBR4	1.886202863
-0.866462483	7.163051924	-3.097199608	0.002058318	0.013183292	-1.795440764	SLC47A1	1.879976129
-1.339953443	5.810600253	-3.085834461	0.002137155	0.013553728	-1.78310852	SLC6A3	1.867941234
0.237478219	6.737798862	3.083826943	0.002151366	0.013624042	-1.838181458	GSTO1	1.865694026
