EGID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
60386	0.727112253	3.392798833	4.922892568	1.14E-06	0.001029571	5.116239169	SLC25A19	2.987343699
10195	0.697157175	4.937199044	4.310905398	1.94E-05	0.0027223	2.583387058	ALG3	2.565064017
79751	0.732694319	3.899798308	4.296211137	2.07E-05	0.00275308	2.53411922	SLC25A22	2.560181169
2941	-0.724756791	4.484441958	-4.060828796	5.63E-05	0.004729955	1.633978915	GSTA4	2.325142991
79581	0.721434912	4.979536996	4.055535928	5.76E-05	0.004729955	1.590911207	SLC52A2	2.325142991
55334	-0.496208841	6.66120685	-4.05091589	5.87E-05	0.004729955	1.558694817	SLC39A9	2.325142991
51006	0.468993496	5.623760434	4.021815695	6.62E-05	0.004998836	1.453413727	SLC35C2	2.301131111
11182	0.842550768	2.451245957	3.859123294	0.000127943	0.006916078	0.863492843	SLC2A6	2.160140117
4329	-1.482252703	4.355089083	-3.830038695	0.000143584	0.007320303	0.805896521	ALDH6A1	2.135470942
6817	1.095452309	4.581380888	3.784033167	0.000172062	0.008373442	0.627293928	SULT1A1	2.077095984
6573	0.775269878	2.938128535	3.760996153	0.000188249	0.008728369	0.57171826	SLC19A1	2.059066902
3176	-0.71785204	6.585867768	-3.749992452	0.000196477	0.008929461	0.464246413	HNMT	2.049174755
23461	-0.79405427	4.688651845	-3.732017177	0.000210652	0.009222504	0.443598819	ABCA5	2.035151148
2590	0.774106008	6.884199391	3.625533379	0.000316433	0.01229049	0.036069508	GALNT2	1.910430802
56267	-0.475724886	4.352323605	-3.574950673	0.00038258	0.013418863	-0.081699496	CCBL2	1.872284281
3291	-1.914263572	5.004899967	-3.560396305	0.00040389	0.013540105	-0.104117184	HSD11B2	1.868377968
6556	1.059158425	3.129234774	3.530623541	0.000450993	0.014343182	-0.188804544	SLC11A1	1.843354491
55974	0.478237537	4.969272319	3.521164181	0.000467004	0.014588595	-0.294762989	SLC50A1	1.835986532
22	-0.468310673	4.628186448	-3.51790793	0.000472637	0.014667882	-0.280742123	ABCB7	1.833632593
128	-0.410018166	7.331617608	-3.470784436	0.000561614	0.016092755	-0.479138822	ADH5	1.7933696
116843	-0.56989476	4.118583138	-3.391571479	0.000747237	0.018629192	-0.662089336	SLC18B1	1.729805981
122830	-0.516929955	4.64937485	-3.379960688	0.000778819	0.019029357	-0.730747048	NAA30	1.720575886
8884	0.489947911	4.389855874	3.378010613	0.000784244	0.019086425	-0.738435141	SLC5A6	1.71927541
11001	-2.01133882	4.754595049	-3.344171802	0.000884158	0.020337349	-0.795297995	SLC27A2	1.691705659
1534	0.467225844	6.041111594	3.339212018	0.000899759	0.020533024	-0.90433068	CYB561	1.687547085
9481	-1.472717348	2.225919021	-3.326790664	0.000939962	0.021000551	-0.846803041	SLC25A27	1.67776931
50515	0.706702301	3.553680772	3.311440519	0.000991949	0.021435203	-0.903174132	CHST11	1.668872399
9429	-1.379202451	3.98002286	-3.250719438	0.001224876	0.024122686	-1.041993407	ABCG2	1.617574336
8140	1.375518817	5.392700412	3.161684121	0.001659094	0.028126776	-1.437989399	SLC7A5	1.550880045
6558	-0.75757462	5.018683701	-3.14801021	0.001737169	0.028736124	-1.446462023	SLC12A2	1.541571811
9469	0.771123693	5.309615682	3.122592422	0.001891367	0.029671126	-1.549181919	CHST3	1.527665972
2878	-1.022792583	10.9751216	-3.116008253	0.001933316	0.030048531	-1.515212783	GPX3	1.522176755
1545	1.24694448	5.050035665	3.113479871	0.001949651	0.030211897	-1.573957843	CYP1B1	1.519822005
10840	-1.908456398	5.802672382	-3.045647987	0.002438263	0.034225768	-1.726024387	ALDH1L1	1.465646798
80024	0.327671188	5.192019362	3.042207505	0.002465812	0.034489152	-1.778898535	SLC8B1	1.462317484
84912	-0.41979646	5.382280837	-3.022548333	0.002628784	0.036181271	-1.826137421	SLC35B4	1.441516181
220963	-1.884297851	5.537450628	-3.008573787	0.002750573	0.037019509	-1.830023184	SLC16A9	1.431569346
5832	0.381929295	6.476298195	2.99137777	0.002907524	0.038173814	-1.944841118	ALDH18A1	1.418234447
6510	0.581121245	6.263231312	2.980927846	0.003006864	0.039051233	-1.97402675	SLC1A5	1.408365249
