EGID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
6519	-3.488433208	8.94623466	-6.955409009	1.06E-11	3.05E-08	16.10218814	SLC3A1	7.516010395
21	-1.400386723	6.101597186	-5.771416975	1.35E-08	3.99E-06	9.321402723	ABCA3	5.399479716
353189	-3.662876876	6.28641983	-5.737593398	1.63E-08	4.48E-06	9.143450185	SLCO4C1	5.349165342
4129	-2.676118019	7.672343572	-5.238558384	2.36E-07	3.51E-05	6.62395078	MAOB	4.454210539
79085	-1.052429451	7.051383551	-5.202217999	2.84E-07	3.98E-05	6.4437294	SLC25A23	4.399901337
126969	-1.528993827	5.196564534	-5.089522876	5.03E-07	6.10E-05	5.929442458	SLC44A3	4.214333087
6584	-1.537688009	6.309981771	-5.077681032	5.34E-07	6.35E-05	5.853516028	SLC22A5	4.197395542
2542	-1.30137216	7.492152977	-5.06240559	5.76E-07	6.72E-05	5.780567799	SLC37A4	4.172874157
2948	-0.977696826	5.157522595	-4.928392727	1.12E-06	0.000106108	5.175752235	GSTM4	3.974251711
2166	-1.833158226	4.533941474	-4.854459925	1.60E-06	0.000133848	4.868748234	FAAH	3.873389384
9154	-3.705701495	6.514046374	-4.820946998	1.88E-06	0.000148582	4.704909012	SLC28A1	3.828032664
6556	1.719713163	3.129234774	4.776942757	2.32E-06	0.000174017	4.525946693	SLC11A1	3.759407262
2053	-1.67245457	5.747877982	-4.7219262	3.01E-06	0.000204951	4.252470234	EPHX2	3.688350943
6505	-2.002039402	5.873958768	-4.697295956	3.38E-06	0.000226206	4.136289552	SLC1A1	3.645496584
55244	-3.488352279	7.162883813	-4.678660052	3.69E-06	0.000242711	4.059280103	SLC47A1	3.614910371
216	-1.763206832	8.849694141	-4.670200526	3.84E-06	0.000248209	4.019473847	ALDH1A1	3.605182778
4128	-1.988167382	6.437298537	-4.51446623	7.86E-06	0.00040612	3.337760679	MAOA	3.391345713
9027	-4.79037757	7.035282909	-4.487577558	8.88E-06	0.000446938	3.287343849	NAT8	3.349752656
6578	-1.889876252	6.987950471	-4.409454639	1.26E-05	0.00056876	2.896321197	SLCO2A1	3.245070968
387700	-3.860285131	5.757476135	-4.395344719	1.34E-05	0.000591956	2.920491171	SLC16A12	3.22771022
6296	-1.569364164	4.657497612	-4.346224826	1.67E-05	0.000686529	2.701306982	ACSM3	3.163341238
79799	-4.108923536	6.297137475	-4.243348425	2.61E-05	0.000928188	2.294860964	UGT2A3	3.032364068
6540	-4.180657224	6.383515366	-4.20997248	3.01E-05	0.001034934	2.164888468	SLC6A13	2.985087245
6582	-4.587316288	6.810916211	-4.19393958	3.22E-05	0.001084876	2.10324474	SLC22A2	2.964619898
8671	-1.869605227	7.24084425	-4.093476865	4.93E-05	0.00149568	1.63098804	SLC4A4	2.825161315
56606	-1.636741381	4.04377396	-4.018340247	6.73E-05	0.001918653	1.45063559	SLC2A9	2.717003611
2327	-3.126662084	4.771638141	-3.987893258	7.62E-05	0.002088074	1.346894059	FMO2	2.680254209
63917	-1.042236887	7.142650241	-3.981910816	7.81E-05	0.002120016	1.203106078	GALNT11	2.673660879
11185	-2.01557739	3.69962812	-3.979551316	7.89E-05	0.002130714	1.333046015	INMT	2.671474889
84869	-0.667107619	4.713002175	-3.946870298	9.01E-05	0.002331953	1.115443542	CBR4	2.632280171
10723	-1.032514378	7.652282588	-3.912689027	0.000103428	0.002501165	0.95018926	SLC12A7	2.60185763
79695	-1.107501395	3.872939927	-3.895068767	0.00011101	0.002657257	0.987054652	GALNT12	2.575566507
23491	-3.103832871	4.974024064	-3.828138766	0.000144882	0.003213662	0.750543265	CES3	2.492999767
11182	1.015516459	2.451245957	3.811800598	0.000154522	0.003363789	0.745137909	SLC2A6	2.473171228
51312	1.073795234	4.935145457	3.799205225	0.000162364	0.003502124	0.557581664	SLC25A37	2.455668507
9619	-0.871118814	6.159895974	-3.761874693	0.000187869	0.003902172	0.395082518	ABCG1	2.408693585
4524	-0.80722222	5.542765798	-3.748681323	0.000197753	0.004015414	0.359431329	MTHFR	2.396269641
11001	-2.796969019	4.754595049	-3.72291869	0.000218483	0.004331785	0.396489894	SLC27A2	2.363333151
224	-0.991068133	7.241591903	-3.707641809	0.000231725	0.004467502	0.199771686	ALDH3A2	2.349935264
10249	-4.128352933	5.114211509	-3.694123577	0.000244069	0.004658677	0.328057305	GLYAT	2.331737359
2678	-2.027290633	6.988998678	-3.661148568	0.000276824	0.004992588	0.044495018	GGT1	2.301674281
284439	-1.060091629	5.123490002	-3.65170937	0.000286935	0.005112311	0.053338445	SLC25A42	2.291382737
10786	-4.600598155	6.336244717	-3.637765601	0.000302508	0.005275258	0.091624459	SLC17A3	2.2777563
6539	-1.693452742	5.35865867	-3.626943151	0.000315139	0.005402311	-0.034981813	SLC6A12	2.267420444
7355	0.490723866	4.872004346	3.585000944	0.000368917	0.006017637	-0.195506489	SLC35A2	2.220574019
125206	-4.545126739	4.818646562	-3.575462864	0.000382293	0.006175949	-0.043808627	SLC5A10	2.209296329
54988	-2.150751931	4.709974294	-3.558117732	0.00040779	0.006411947	-0.187769089	ACSM5	2.193010099
9122	-1.323825912	6.682101648	-3.550389074	0.000419657	0.006572211	-0.341698318	SLC16A4	2.182288506
57153	-0.684746877	7.792177473	-3.530020648	0.000452499	0.006925316	-0.403079344	SLC44A2	2.159560392
113829	-0.434080013	7.089016886	-3.482407362	0.000538886	0.007854536	-0.57195243	SLC35A4	2.104879461
2329	-0.915325738	3.526867734	-3.468264019	0.000567377	0.008141214	-0.440653235	FMO4	2.089310813
368	-2.085174632	4.71956244	-3.45178508	0.000602344	0.008515973	-0.574567156	ABCC6	2.06976571
284723	-1.749255043	2.224040946	-3.440408496	0.000627647	0.008747695	-0.475271078	SLC25A34	2.058106363
57210	-0.848388598	5.136943439	-3.43226086	0.000646375	0.008917416	-0.688765126	SLC45A4	2.049760949
10257	-1.087230118	6.005440119	-3.404868285	0.000713227	0.009534256	-0.819949063	ABCC4	2.020713213
55867	-3.770349864	5.241639918	-3.378428693	0.000783817	0.010188751	-0.713686779	SLC22A11	1.991879047
220963	-2.646878531	5.537450628	-3.366990224	0.000816327	0.010495502	-0.852416905	SLC16A9	1.978996776
411	-0.877020098	5.934736307	-3.367209635	0.000815692	0.010495502	-0.939932257	ARSB	1.978996776
6568	-3.474625863	3.368732226	-3.334029634	0.000917158	0.011323052	-0.799013464	SLC17A1	1.946036503
5825	-0.599890065	6.145538254	-3.33400116	0.00091725	0.011323052	-1.053755035	ABCD3	1.946036503
6555	-4.078665115	2.588429716	-3.315953273	0.000977256	0.01184068	-0.846803935	SLC10A2	1.926623348
2651	-0.7746997	4.701934736	-3.311505111	0.000992595	0.012001838	-1.049837251	GCNT2	1.920752224
2878	-1.345445912	10.9751216	-3.304396925	0.001017572	0.012211592	-1.063956968	GPX3	1.913227705
223	-0.540743521	6.980047607	-3.291759325	0.001063424	0.012688899	-1.190400209	ALDH9A1	1.896576045
6510	0.772610716	6.263231312	3.266986347	0.001158917	0.01351343	-1.266869279	SLC1A5	1.869234396
7922	0.437802071	6.916471652	3.262557531	0.001176804	0.013600809	-1.279081433	SLC39A7	1.866435248
6560	-0.532308852	6.58389487	-3.263306404	0.001173762	0.013600809	-1.279259012	SLC12A4	1.866435248
54977	0.4826818	4.537311492	3.250061371	0.001228663	0.013913432	-1.25999464	SLC25A38	1.856565741
