logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
-1.234067654	3.035746609	-5.949040686	8.16E-09	9.56E-06	9.765817512	FMO5	5.019542108
-2.696607716	5.089335227	-5.243894536	3.13E-07	0.000117996	6.399787818	SLC6A20	3.928132715
-0.781292035	7.195055591	-4.809337837	2.49E-06	0.000393062	4.432285573	SLC37A4	3.40553894
-1.338613251	6.675464491	-4.745098316	3.35E-06	0.000461121	4.158245514	CYP27A1	3.336185099
-2.619845837	3.507076655	-4.730567748	3.58E-06	0.000481643	4.147119112	SLC15A1	3.317274747
-0.750623338	8.279787726	-4.541408586	8.36E-06	0.000855693	3.314360113	GSTK1	3.067682021
-3.228961188	6.390037349	-4.427076726	1.38E-05	0.001119319	2.868315389	SLC22A2	2.951046124
-1.540309507	5.991875917	-4.406567454	1.51E-05	0.001163	2.759946893	SLC39A8	2.934420285
0.544284044	3.902629692	4.374403235	1.73E-05	0.001293663	2.711478771	SLC25A32	2.888178843
-0.473026712	5.632805182	-4.268045936	2.71E-05	0.00174668	2.21690977	ALG12	2.757786653
-0.628518238	5.650023708	-4.220099956	3.32E-05	0.00202695	2.024553058	CYB5D2	2.693156964
0.45368534	6.537275079	4.196309766	3.66E-05	0.002181952	1.926991912	ALDH18A1	2.661154808
-0.586049959	5.022512004	-4.185459275	3.83E-05	0.002250334	1.912504573	CBR4	2.647753018
-0.948797808	5.623170398	-4.080358727	5.89E-05	0.002915872	1.506651931	NQO2	2.535231544
0.518406708	6.347667871	4.06205673	6.35E-05	0.003019706	1.418376507	NAA50	2.520035338
-0.601248796	6.603112386	-3.949400574	9.96E-05	0.003845626	1.002423122	SLC12A4	2.415032955
-1.333479784	6.867799074	-3.947174531	0.000100432	0.003867128	0.99572425	MAOB	2.412611453
-0.864513782	5.188120804	-3.915524345	0.000113764	0.004198856	0.905027312	FAAH	2.376869019
-2.827065054	6.185306819	-3.848364919	0.000147816	0.004889756	0.669764987	NAT8	2.310712812
-0.918534656	5.598508494	-3.826194902	0.000161033	0.005197768	0.574215229	SLC46A3	2.284183109
-0.593101784	7.106466657	-3.821982562	0.000163668	0.005212556	0.54704348	SLC25A11	2.282949266
1.956472768	2.939618732	3.708032783	0.000252504	0.006903516	0.315338899	ABCA12	2.160929664
-0.736829994	3.92266797	-3.66270253	0.000299169	0.007668138	0.125264618	DHRS11	2.11531008
-0.63428211	4.431631512	-3.636452426	0.000329787	0.00819337	0.016459545	SLC2A11	2.086537433
-1.043729108	6.075008716	-3.664683077	0.00029697	0.007664267	0.006472775	SLC22A18	2.115529374
-0.630894006	9.033563623	-3.499591375	0.00054317	0.011099764	-0.523924013	GPX1	1.954686255
-1.232769789	2.113892725	-3.433899642	0.000686429	0.012665627	-0.555865183	SLC23A3	1.897373306
0.653317212	2.110436222	3.435344589	0.00068293	0.012665627	-0.556196829	SLC35G1	1.897373306
-1.305339497	3.726492953	-3.409123717	0.000749099	0.013368796	-0.642129717	SLC49A3	1.873907704
-0.65487012	6.138307295	-3.469332505	0.000605275	0.01184341	-0.647800417	SLC43A2	1.926523236
1.608322758	6.126985514	3.454010489	0.000639199	0.012357833	-0.661053308	NQO1	1.908057678
0.548631029	5.757927966	3.451347094	0.000645275	0.012403158	-0.69249219	SLC44A1	1.906467724
-0.478544005	8.747239362	-3.445335366	0.000659187	0.01249014	-0.702520385	CYB5R3	1.903432694
-1.175907161	3.711957726	-3.389813096	0.000801607	0.013760302	-0.777999577	SLC22A3	1.861372034
-2.216046723	6.021169593	-3.39117842	0.000797784	0.013757418	-0.872687362	GLYAT	1.861463067
-0.295314794	7.418365816	-3.389241849	0.000803211	0.013760302	-0.905667995	SLC35A4	1.861372034
