KIRC	N	T	KIRP	N	T
SLC22A24	0.5	0.4	SLC22A24	0.4	0.8
SLC22A23	2.9	2.5	SLC22A23	2.9	1
SLC22A18	5	5.5	SLC22A18	5.6	6.2
SLC22A17	4.4	4.1	SLC22A17	4.8	4.6
SLC22A15	1.9	0.9	SLC22A15	1.7	1.3
SLC22A14	0.1	0.1	SLC22A14	0.2	0.1
SLC22A13	1.4	0.3	SLC22A13	1.4	0.4
SLC22A12	5.6	2.6	SLC22A12	6.3	2.5
SLC22A11	5.2	5.4	SLC22A11	5.8	5.1
SLC22A8	5.9	0.3	SLC22A8	6.3	0.1
SLC22A7	3.3	0.6	SLC22A7	4.1	0.9
SLC22A6	5.8	2.1	SLC22A6	5.9	0.3
SLC22A5	4.6	5.1	SLC22A5	4.6	5.1
SLC22A4	1.8	2.8	SLC22A4	1.8	1.9
SLC22A3	2.3	1.4	SLC22A3	2.3	2.2
SLC22A2	6.6	6.5	SLC22A2	5.6	6.2
SLC22A1	0.8	0.5	SLC22A1	0.9	0.7
